station_id,first_seen,last_seen,active_days,rent_events,ret_events,name,lat,lon,gu,dong,addr,span_days,activity_ratio,total_events,in_current_list,station_type
ST1430,2025-08-06,2025-08-22,14,219,267,0시축제 임시대여소1,36.33049,127.427884,중구,은행동,대전광역시 중구 은행동 314-1,17,0.8235,486,False,TEMPORARY
ST0727,2024-10-30,2025-02-26,103,243,242,신탄진동 행정복지센터,36.451693,127.428899,대덕구,신탄진동,신탄진동 120-1,120,0.8583,485,False,CLOSED
ST1388,2024-12-31,2026-03-30,222,246,230,신대동 연축주공아파트 정류장,36.396416,127.422407,대덕구,신대동,대전광역시 대덕구 신대동 372-1,455,0.4879,476,True,LOW_USE
ST1496,2025-10-22,2026-03-31,109,240,233,대화동 세원화성 정류장(동아교재 방면),36.371915,127.412274,대덕구,대화동,대전광역시 대덕구 대화동 164-14,161,0.677,473,True,ACTIVE
ST1499,2025-10-20,2026-03-31,97,234,237,산성동 대전서남부터미널,36.312557,127.387973,중구,산성동,대전광역시 중구 산성동 759-36,163,0.5951,471,True,ACTIVE
ST1466,2025-10-18,2026-03-31,113,234,227,대성동 파스쿠찌 남대전DT점,36.291036,127.462686,동구,대성동,대전광역시 동구 대성동 275-1,165,0.6848,461,True,ACTIVE
ST1507,2025-10-24,2026-03-31,110,229,231,중촌동 하늘아파트 307동 건너편,36.339602,127.40595,중구,중촌동,대전광역시 중구 중촌동 301,159,0.6918,460,True,ACTIVE
ST1161,2024-08-02,2026-03-29,185,225,223,둔곡동 서한이다음 정문(101동),36.454314,127.363703,유성구,둔곡동,대전광역시 유성구 둔곡동 480,605,0.3058,448,True,LOW_USE
ST1135,2024-08-01,2024-09-16,43,217,219,도안동 갑천3블럭 트리풀시티 304동,36.324041,127.348294,서구,도안동,대전광역시 서구 도안동 2353,47,0.9149,436,False,TEMPORARY
ST1498,2025-10-23,2026-03-31,109,219,216,산성동 산성시장 정류장(산성동 새마을회관 방면),36.305214,127.388659,중구,산성동,대전광역시 중구 산성동 280-10,160,0.6812,435,True,ACTIVE
